"ID"	"Mass_specific_VCO2"	"Ta"	"N"	"Tb"	"Taset"	"Whole_animal_VCO2"	"ID2"
"12_23_01"	1.37089788646564	0.14865177140625	4	9.078125	0	44.2153735122714	"12"
"2_23_01"	0.0925110364069935	0.144598123333333	3	2	0	3.24707656775895	"2"
"3_24_01"	0.0619622501658446	-0.0304748325895465	3	1.33333333333333	0	1.8135287783722	"3"
"4_24_01"	0.20722955511206	-0.0438375	3	3.77083333333333	0	7.0171905170731	"4"
"5_24_01"	0.280232342623837	-0.0419833333333333	3	6	0	9.19571281841315	"5"
"50_25_01"	0.768312110666969	-0.1370482384375	4	8.40625	0	26.4813446465527	"50"
"6_25_01"	0.894488438828639	-0.1431888625	4	7.5	0	26.0999723461437	"6"
"60_25_01"	0.395950929947162	-0.1397373	3	6.97916666666667	0	14.6150159648696	"60"
"8_23_01"	1.47447990039977	0.1467627025	3	10.9583333333333	0	45.5419734905688	"8"
"9_23_01"	1.38812267120062	0.144510623958333	3	8.04166666666667	0	42.0496295806315	"9"
"10_24_01"	1.008317692679	2.0454375	3	11.9791666666667	2	29.5491436831876	"10"
"11_25_01"	0.0369397058573785	1.85396918665524	4	2.75	2	1.02841484661175	"11"
"12_23_01"	0.580006959949744	2.18419375	3	11.5416666666667	2	18.9527588826136	"12"
"2_23_01"	0.0733264982880267	2.13244117630385	3	3.5	2	2.57680682189731	"2"
"3_24_01"	0.00431060553379009	1.95468528637928	3	2.5	2	0.126391327429844	"3"
"4_24_01"	0.132391106053018	1.9591551618896	3	3.83333333333333	2	4.49355669972171	"4"
"5_24_01"	0.0988819091168591	1.969196484375	4	2.875	2	3.25520066334452	"5"
"50_25_01"	0.1517993839684	1.84953580246914	3	4.66666666666667	2	5.36219351677217	"50"
"6_25_01"	0.311071803607467	2.02422708333333	3	13.1458333333333	2	9.21085026149539	"6"
"60_25_01"	0.0820457991009877	1.84409583333333	3	6.04166666666667	2	3.03560227154826	"60"
"8_23_01"	0.940142841023886	2.1398421875	4	11.28125	2	29.1498347391872	"8"
"9_23_01"	0.522701952851897	2.18698125	3	9.04166666666667	2	16.1898958259851	"9"
"10_21_01"	0.726817922790963	4.06351082916667	3	9.66666666666667	4	21.5211035517498	"10"
"11_22_01"	0.0109697069918299	4.02671146913642	4	4.5	4	0.313516099994641	"11"
"12_17_01"	0.286975961374815	4.17249204791667	3	8.70833333333333	4	9.4772098408092	"12"
"12_20_01"	0.362187042794486	4.181244140625	4	14.5625	4	11.8051853668736	"12"
"2_17_01"	0.0225619478746665	4.19005070041118	4	5.25	4	0.768434163555772	"2"
"2_20_01"	0.0987718402548875	4.164936265625	4	7.703125	4	3.5043422160047	"2"
"3_21_01"	0.0769743291612295	4.06834207166667	3	6.5	4	2.24045151900669	"3"
"4_21_01"	0.0513106075821199	4.07512284079686	3	5	4	1.7127924182695	"4"
"5_21_01"	0.325924357390825	4.0626878546875	4	7.296875	4	10.9419731505078	"5"
"50_19_01"	0.565338353481169	4.16219163057783	3	11.8333333333333	4	19.0692548510819	"50"
"50_22_01"	0.354292548455056	4.02568987708333	3	9.16666666666667	4	12.1909879367277	"50"
"6_19_01"	0.419123547108633	4.16778839188034	3	7.66666666666667	4	12.2893995645253	"6"
"6_22_01"	0.0353995198518533	4.0376488125	4	6.984375	4	1.05905983382233	"6"
"60_19_01"	0.169225304075269	4.14794088269728	3	10.2581453634085	4	6.11443587931014	"60"
"60_22_01"	0.0372905513073137	4.03349250625	4	4.875	4	1.38047015429172	"60"
"8_17_01"	0.848823839649923	4.18065704643606	3	11.8333333333333	4	26.8352601356667	"8"
"8_20_01"	1.51811755862964	4.17065245833333	3	15.6041666666667	4	48.0801411707165	"8"
"9_17_01"	0.091020179314694	4.20023164375	3	6.60416666666667	4	2.8762579100278	"9"
"9_20_01"	0.459427202119224	4.16411124375	4	8.03125	4	14.3125710719275	"9"
"60_19_01"	0.368464771023861	5.15097110796539	3	11.0947242206235	5	13.3985856105629	"60"
"11_22_01"	0.0122349403807698	6.01402080377682	3	5.33333333333333	6	0.348101777618921	"11"
"6_22_01"	0.132677722868716	6.09080474166667	3	7.89583333333333	6	3.95524443391289	"6"
"60_22_01"	0.0504559627730259	6.02355548226219	4	5.25	6	1.86419280621546	"60"
"10_21_01"	0.469239670649475	7.00676726875	3	12.1666666666667	7	14.0130390485129	"10"
"11_19_01"	0.0823328816407484	7.1254019156746	3	9	7	2.27687348789995	"11"
"11_22_01"	0.00600446679578734	6.9701133876282	4	6.25	7	0.170711284462228	"11"
"12_17_01"	0.230784448803482	7.10045898541667	3	15.7083333333333	7	7.68437495741196	"12"
"12_20_01"	0.377991355473486	7.08076528541667	3	10.8333333333333	7	12.2776504962873	"12"
