"ID" "MR" "Ta" "N" "Tb" "Taset" "ID2"
"520" "50_22_01" 0.354292548455056 4.02568987708333 3 9.16666666666667 4 "50"
"524" "6_19_01" 0.419123547108633 4.16778839188034 3 7.66666666666667 4 "6"
"525" "6_22_01" 0.0353995198518533 4.0376488125 4 6.984375 4 "6"
"531" "60_19_01" 0.169225304075269 4.14794088269728 3 10.2581453634085 4 "60"
"532" "60_22_01" 0.0372905513073137 4.03349250625 4 4.875 4 "60"
"537" "8_17_01" 0.848823839649923 4.18065704643606 3 11.8333333333333 4 "8"
"538" "8_20_01" 1.51811755862964 4.17065245833333 3 15.6041666666667 4 "8"
"542" "9_17_01" 0.091020179314694 4.20023164375 3 6.60416666666667 4 "9"
"543" "9_20_01" 0.459427202119224 4.16411124375 4 8.03125 4 "9"
"599" "60_19_01" 0.368464771023861 5.15097110796539 3 11.0947242206235 5 "60"
"624" "11_22_01" 0.0122349403807698 6.01402080377682 3 5.33333333333333 6 "11"
"661" "6_22_01" 0.132677722868716 6.09080474166667 3 7.89583333333333 6 "6"
"668" "60_22_01" 0.0504559627730259 6.02355548226219 4 5.25 6 "60"
"685" "10_21_01" 0.469239670649475 7.00676726875 3 12.1666666666667 7 "10"
"691" "11_19_01" 0.0823328816407484 7.1254019156746 3 9 7 "11"
"692" "11_22_01" 0.00600446679578734 6.9701133876282 4 6.25 7 "11"
"697" "12_17_01" 0.230784448803482 7.10045898541667 3 15.7083333333333 7 "12"
"698" "12_20_01" 0.377991355473486 7.08076528541667 3 10.8333333333333 7 "12"
"700" "2_17_01" 0.0241510142476817 7.10222389494131 4 8 7 "2"
"701" "2_20_01" 0.0442997524730135 7.07492616570742 4 7.5 7 "2"
"706" "3_21_01" 0.0526626475092527 7.01227089543505 4 9.25 7 "3"
"711" "4_21_01" 0.00601172770060593 7.01638497553204 4 7.625 7 "4"
"717" "5_21_01" 0.0518117261283139 7.02176406046908 3 8.5 7 "5"
"723" "50_19_01" 0.191990556762312 7.13892581879932 3 14.0952380952381 7 "50"
"724" "50_22_01" 0.193046397656768 6.98257348541667 3 11.7083333333333 7 "50"
"729" "6_22_01" 0.0116762968308008 6.99711376221127 4 8.25 7 "6"
"735" "60_19_01" 0.0703580019818033 7.11929852526311 3 10.3333333333333 7 "60"
"736" "60_22_01" 0.0533347618012213 6.9884969730385 4 7.25 7 "60"
"741" "8_17_01" 0.269206988884451 7.098727225 4 17.1875 7 "8"
"742" "8_20_01" 0.554287499882329 7.08446734375 3 14.6041666666667 7 "8"
"746" "9_17_01" 0.00317090328080917 7.11323653418313 4 8 7 "9"
"747" "9_20_01" 0.10573335302717 7.0987069125 3 8.83333333333333 7 "9"
"889" "10_21_01" 0.879091665582494 10.01139389375 3 16.1666666666667 10 "10"
"895" "11_19_01" 0.0338597817652412 10.1122324780976 3 10 10 "11"
"901" "12_17_01" 0.160265314670636 10.0829884334415 4 15.1124188311688 10 "12"
"902" "12_20_01" 0.244157810246197 10.0091481104167 3 13.375 10 "12"
"904" "2_17_01" 0.00662762396939251 10.0725325743201 4 10.9076797385621 10 "2"
"905" "2_20_01" 0.00826886241629876 9.98436815443483 4 10.6105460513705 10 "2"
"910" "3_21_01" 0.00695683060327955 10.0014849356603 4 10.5 10 "3"
"915" "4_21_01" 0.00302278120980912 10.009742809644 4 10.5 10 "4"
"921" "5_21_01" 0.0996393285803882 10.0139800382392 3 12.5 10 "5"
"939" "60_19_01" 0.13288859915191 10.1261507553606 3 13.5 10 "60"
"945" "8_17_01" 0.464888022114658 10.085634375 4 20.859375 10 "8"
"946" "8_20_01" 0.252374688409891 9.9882552421875 4 16.4375 10 "8"
"950" "9_17_01" 0.0523038772173957 10.067272224009 4 11.5 10 "9"
"951" "9_20_01" 0.174197598008739 9.9931941546875 4 15.515625 10 "9"
"1158" "10_11_01" 0.0157295040918687 13.9062202380952 3 14.6666666666667 14 "10"
"1160" "10_14_01" 0.42715489430464 13.9613645833333 3 20.5 14 "10"
"1165" "11_12_01" 0.0189993574621356 13.91500375 5 14.5 14 "11"
"1166" "11_15_01" 0.0142729411955907 13.9926621150066 5 14.5 14 "11"
"1172" "12_13_01" 0.144793314765869 13.858553125 4 16.25 14 "12"
"1181" "3_13_01" 0.017542642854306 13.8502828125 4 14 14 "3"
"1186" "4_13_01" 0.0137060282821093 13.8510831248809 3 14.5 14 "4"
"1191" "5_11_01" 0.0114656252627143 13.9062476190476 3 14.8333333333333 14 "5"
"1192" "5_14_01" 0.0397471521959635 13.9777073109244 5 16.1625 14 "5"
"1197" "50_11_01" 0.0222389117424611 13.892354386414 3 14.5 14 "50"
"1198" "50_14_01" 0.374751293939946 13.9674479166667 3 21.875 14 "50"
"1202" "6_12_01" 0.0172479846098402 13.927619432947 4 14.703125 14 "6"
"1203" "6_15_01" 0.0644755514908893 14.007545 5 16.6 14 "6"
"1209" "60_12_01" 0.0748853884943768 13.92365875 5 14.5 14 "60"
"1210" "60_15_01" 0.133375576165505 13.9937175 5 17.95 14 "60"
"1216" "8_13_01" 0.120630655746105 13.85945 3 16.0416666666667 14 "8"
"1362" "10_11_01" 0.0251547010625844 16.9224238095238 3 17.8333333333333 17 "10"
"1364" "10_14_01" 0.261003798333456 16.8078833333333 3 20.2083333333333 17 "10"
"1369" "11_12_01" 0.0231511645110099 16.856665625 4 17.5 17 "11"
"1370" "11_15_01" 0.0167399529618793 16.86818125 5 17.075 17 "11"
"1376" "12_13_01" 0.0545221778131676 16.8313666666667 3 17.5 17 "12"
"1385" "3_13_01" 0.0358510347889857 16.828671875 4 17.5 17 "3"
"1390" "4_13_01" 0.0374659891164248 16.83701875 4 17.875 17 "4"
"1395" "5_11_01" 0.0406199156772403 16.9299119047619 3 17.5595238095238 17 "5"
"1396" "5_14_01" 0.0878875956992803 16.791425 4 17.5 17 "5"
"1401" "50_11_01" 0.0521879314662936 16.9220964285714 3 17.5 17 "50"
"1402" "50_14_01" 0.070003016518212 16.80356875 4 18.375 17 "50"
"1406" "6_12_01" 0.0684172141259876 16.85560375 5 19.6 17 "6"
"1407" "6_15_01" 0.0928896219669792 16.88103125 5 18.2 17 "6"
"1413" "60_12_01" 0.0439087477624407 16.86770625 4 17.5 17 "60"
"1414" "60_15_01" 0.0302434817352731 16.868775 3 16.5 17 "60"
"1420" "8_13_01" 0.0367712629574897 16.8292671875 4 18 17 "8"
"1566" "10_11_01" 0.197726446578351 19.9123023809524 3 23.0952380952381 20 "10"
"1568" "10_14_01" 0.285701378042317 19.727603125 4 21.5 20 "10"
"1573" "11_12_01" 0.0482361723444474 19.885915625 4 20.5 20 "11"
"1574" "11_15_01" 0.0762622540335518 19.82285625 5 20 20 "11"
"1580" "12_13_01" 0.0976818114183966 19.852103125 4 21 20 "12"
"1589" "3_13_01" 0.0789980170722223 19.87288125 4 20 20 "3"
"1594" "4_13_01" 0.0768020566143422 19.9094625 3 21.1666666666667 20 "4"
"1599" "5_11_01" 0.192067879374131 19.9164630952381 3 23.4642857142857 20 "5"
"1600" "5_14_01" 0.0866685114981821 19.7379175 5 20.6 20 "5"
"1605" "50_11_01" 0.501291238666479 19.9323523809524 3 26.8571428571429 20 "50"
"1606" "50_14_01" 0.0407533580670855 19.73970625 5 20.5 20 "50"
"1610" "6_12_01" 0.071277565178739 19.89972 5 21.3 20 "6"
"1611" "6_15_01" 0.0948790675397788 19.82177 5 19.9 20 "6"
"1617" "60_12_01" 0.081273334248459 19.8835975 5 20.5 20 "60"
"1618" "60_15_01" 0.0837079595869761 19.82303125 5 19 20 "60"
"1624" "8_13_01" 0.168393725452586 19.880959375 4 23.453125 20 "8"
"1850" "12_10_03" 0.379002582830576 24.444995959596 3 26.1666666666667 24 "12"
"1859" "2_8_03" 0.414730689860122 24.4682767676768 3 26 24 "2"
"1864" "3_8_03" 0.24822770210675 24.4456686868687 3 25.5 24 "3"
"1869" "4_8_03" 0.230474976460902 24.4384525252525 3 25.5 24 "4"
"1875" "5_8_03" 0.199669484289639 24.4428727272727 3 25.3333333333333 24 "5"
"1887" "6_8_03" 0.24579244737072 24.4195696969697 3 25 24 "6"
"1894" "8_10_03" 0.276056910381224 24.4198767676768 3 25.5 24 "8"
"1900" "9_10_03" 0.281845522881294 24.450094949495 3 25.5 24 "9"
"1918" "12_10_03" 0.45211147542051 24.8077131313131 3 26.8787878787879 25 "12"
"1979" "11_10_03" 0.505772011348515 26.3873838383838 3 28.3939393939394 26 "11"
"1986" "12_10_03" 0.373587646978731 26.4001414141414 3 27.5 26 "12"
"2005" "4_8_03" 0.357977127551401 26.3488828282828 3 28 26 "4"
"2011" "5_8_03" 0.278878080021083 26.3787070707071 3 27.5 26 "5"
"2030" "8_10_03" 0.527296043317176 26.4035090909091 3 27.1666666666667 26 "8"
"2166" "8_10_03" 0.681443906300043 28.4264484848485 3 29.5 28 "8"
"3850" "50_14_01" 3.90243096579503 13.953915625 2 30 14 "50"
"4054" "50_14_01" 2.29827734183843 16.84280625 1 30.5 17 "50"
"4058" "6_12_01" 2.89444841699527 16.911471875 2 30.40625 17 "6"
"4220" "10_14_01" 3.00941917270207 19.7470475 5 30.225 20 "10"
"4223" "11_10_03" 2.86491204453418 20.448096969697 1 30 20 "11"
"4252" "5_14_01" 2.64574518193591 19.74550875 6 30.8 20 "5"
"4257" "50_11_01" 1.8632829605059 19.9285619047619 3 30.8571428571429 20 "50"
"4269" "60_12_01" 3.35469914845662 19.84750625 2 31.5 20 "60"
"4276" "8_13_01" 2.06160178863361 19.942075 2 31.8125 20 "8"
"4427" "11_10_03" 2.65526736552102 22.5075818181818 1 30.5 23 "11"
"4489" "10_10_03" 2.01849097347132 24.4220444444444 3 30.8787878787879 24 "10"
"4495" "11_10_03" 2.03292031163398 24.374502020202 6 31.0530303030303 24 "11"
"4557" "10_10_03" 3.01595854393825 24.6051212121212 1 31.1363636363636 25 "10"
"4563" "11_10_03" 2.12178011765691 24.9220060606061 2 31.25 25 "11"
"4625" "10_10_03" 2.12785846228879 26.3380451178451 9 31.7777777777778 26 "10"
"4631" "11_10_03" 1.97818543497311 26.3213593073593 7 30.6428571428571 26 "11"
"4638" "12_10_03" 1.71967265650951 26.3868393939394 2 31.9318181818182 26 "12"
"4647" "2_8_03" 1.89424649520398 26.3693585858586 6 33 26 "2"
"4652" "3_8_03" 2.62127190735653 26.3667478787879 5 33.3 26 "3"
"4675" "6_8_03" 1.96978587374989 26.3545111111111 3 32.1666666666667 26 "6"
"4688" "9_10_03" 2.23039003557332 26.384270995671 7 32.8571428571429 26 "9"
"4693" "10_10_03" 2.34508731344928 26.9202666666667 1 32 27 "10"
"4699" "11_10_03" 2.41896017905785 27.4916242424242 1 31 27 "11"
"4706" "12_10_03" 1.99496349354694 27.1580363636364 1 33 27 "12"
"4715" "2_8_03" 2.23225852502031 27.4040484848485 1 33.5 27 "2"
"4720" "3_8_03" 2.55816062829043 26.6478545454545 1 33.1818181818182 27 "3"
"4743" "6_8_03" 2.13477880877359 27.0759939393939 1 32.5 27 "6"
"4756" "9_10_03" 1.85667749907746 26.603496969697 1 33 27 "9"
"4761" "10_10_03" 1.16803018090332 28.4293939393939 9 31.75 28 "10"
"4767" "11_10_03" 1.28009049526941 28.4380531986532 9 32.5909090909091 28 "11"
"4774" "12_10_03" 1.17959299507527 28.4402154882155 10 31.959595959596 28 "12"
"4783" "2_8_03" 0.914728235489871 28.3428926406926 7 31.7337662337662 28 "2"
"4788" "3_8_03" 1.82843016180752 28.3893954545455 8 33.0625 28 "3"
"4793" "4_8_03" 0.904348392350841 28.3936181818182 9 32.1875 28 "4"
"4799" "5_8_03" 0.718316543125324 28.4123515151515 10 31.4444444444444 28 "5"
"4811" "6_8_03" 0.847414623551395 28.3946008658009 8 31.1623376623377 28 "6"
"4819" "8_11_03" 1.06010119240431 27.6232181818182 1 30.5 28 "8"
"4824" "9_10_03" 1.17676050487391 28.4176975757576 10 32.1 28 "9"
"4829" "10_10_03" 1.3575535483481 29.0058909090909 2 32.75 29 "10"
"4842" "12_10_03" 1.66530917812006 28.9376606060606 2 32.8181818181818 29 "12"
"4851" "2_8_03" 0.837933399570933 28.6056606060606 1 32.6363636363636 29 "2"
"4867" "5_8_03" 0.363520819180622 28.9575818181818 1 33.1818181818182 29 "5"
"4868" "5_9_03" 2.01804121637418 29.0325878787879 2 32.5 29 "5"
"4879" "6_8_03" 1.3340954137691 29.1191484848485 2 32.75 29 "6"
"4887" "8_11_03" 1.03596090874894 29.0308060606061 1 30.5 29 "8"
"4899" "10_11_03" 1.25987839120958 30.3809090909091 3 34 30 "10"
"4904" "11_11_03" 1.17962529024999 30.4250412121212 5 33.1 30 "11"
"4911" "12_11_03" 1.10447599148596 30.4007414141414 6 33.25 30 "12"
"4920" "2_9_03" 1.13493639391027 30.2955090909091 9 34 30 "2"
"4924" "3_8_03" 2.53750994296937 29.5808787878788 1 34 30 "3"
"4925" "3_9_03" 0.92846530846429 30.3693163636364 10 32.5318181818182 30 "3"
"4930" "4_9_03" 1.10149061569051 30.3734583333333 8 33.8125 30 "4"
"4936" "5_9_03" 1.18351642402158 30.333503030303 11 33.0619834710744 30 "5"
"4948" "6_9_03" 1.08866704062735 30.3783090909091 9 33.0959595959596 30 "6"
"4954" "8_10_03" 1.18912319546341 29.6248727272727 1 30 30 "8"
"4955" "8_11_03" 1.32644070857645 30.4249090909091 1 32.5 30 "8"
"4960" "9_10_03" 1.27209004085422 29.7149090909091 1 33 30 "9"
"4961" "9_11_03" 0.665980461531689 30.3321459683841 5 33.8 30 "9"
"4967" "10_11_03" 1.39940083428575 31.0276151515151 2 34.25 31 "10"
"4972" "11_11_03" 1.21160706174373 30.5724181818182 1 33 31 "11"
"4979" "12_11_03" 1.39617592742872 31.4303636363637 2 34 31 "12"
"4988" "2_9_03" 1.19509410134326 30.9900808080808 3 34.5 31 "2"
"4993" "3_9_03" 0.70791710422992 30.9632333333333 4 32.1704545454545 31 "3"
"4998" "4_9_03" 1.42467543699529 31.3306712121212 4 34.125 31 "4"
"5004" "5_9_03" 1.33506005290698 31.0592242424242 4 33.375 31 "5"
"5016" "6_9_03" 0.793607176410168 30.9726848484848 3 33 31 "6"
"5023" "8_11_03" 1.27939659128255 31.0946848484848 1 32.6818181818182 31 "8"
"5029" "9_11_03" 0.6844516023379 30.8693621633554 3 33.8333333333333 31 "9"
"5035" "10_11_03" 0.841826599372481 32.4206528138528 7 34.5714285714286 32 "10"
"5040" "11_11_03" 1.00650204057558 32.2634895622896 9 34.3686868686869 32 "11"
"5047" "12_11_03" 0.907476140915992 32.3623809523809 7 34.4285714285714 32 "12"
"5056" "2_9_03" 0.97073274310959 32.2806727272727 8 34.6875 32 "2"
"5061" "3_9_03" 0.834112375380632 32.2816333333333 8 33.8125 32 "3"
"5066" "4_9_03" 0.757178143073163 32.3718909090909 6 34.5 32 "4"
"5072" "5_9_03" 0.778957497406215 32.3657503030303 5 34.0636363636364 32 "5"
"5084" "6_9_03" 0.796015849788298 32.3536196969697 8 33.9829545454545 32 "6"
"5091" "8_11_03" 0.948282994713472 32.2879922077922 7 32.8571428571429 32 "8"
"5097" "9_11_03" 0.770537345524622 32.4017064408854 5 34.1 32 "9"
"5103" "10_11_03" 0.805952404048367 33.3242666666667 1 35 33 "10"
"5108" "11_11_03" 0.904533810153822 33.2389515151515 3 34.5 33 "11"
"5115" "12_11_03" 0.885261795496044 33.079893939394 2 34.5 33 "12"
"5124" "2_9_03" 0.813408740943669 32.6542393939394 2 34.5 33 "2"
"5129" "3_9_03" 0.985452287138852 32.8930545454545 2 34.5 33 "3"
"5134" "4_9_03" 0.79381235065706 33.1434969696969 2 34.75 33 "4"
"5140" "5_9_03" 0.883265583501907 33.3982393939394 2 34.75 33 "5"
"5152" "6_9_03" 0.764838626567449 33.1498515151516 2 34.25 33 "6"
"5159" "8_11_03" 1.06527820215342 33.0011333333334 2 33.3409090909091 33 "8"
"5165" "9_11_03" 0.704620637675665 32.6665629139073 2 34.5 33 "9"
"5171" "10_11_03" 0.893635785235378 33.9421818181818 2 35 34 "10"
"5176" "11_11_03" 0.913936629467184 33.8563757575758 3 35.1666666666667 34 "11"
"5183" "12_11_03" 0.88724267888845 33.8113727272728 2 35 34 "12"
"5192" "2_9_03" 0.888991521168456 33.8733636363636 2 35.5 34 "2"
"5197" "3_9_03" 0.810227155690275 33.9934151515152 2 34.75 34 "3"
"5202" "4_9_03" 0.7713908339579 33.633703030303 1 35 34 "4"
"5220" "6_9_03" 0.754699919208329 33.7425878787879 1 35 34 "6"
"5227" "8_11_03" 0.904177995994095 33.9157606060606 2 33.75 34 "8"
"5233" "9_11_03" 0.723496587893234 33.9610479914604 2 34.5526315789473 34 "9"
"5239" "10_11_03" 0.862445047114065 34.8043313131313 9 35.9444444444444 35 "10"
"5244" "11_11_03" 0.9486391929063 34.8654067340067 10 36.1818181818182 35 "11"
"5251" "12_11_03" 0.883817667640451 34.8409915151515 11 35.9636363636364 35 "12"
"5260" "2_9_03" 0.876665390102046 35.0955863636364 5 36.5 35 "2"
"5265" "3_9_03" 0.929031385516385 34.9514151515151 5 35.9204545454545 35 "3"
"5270" "4_9_03" 0.845935222235914 34.9486656565657 7 36.25 35 "4"
"5276" "5_9_03" 0.830321013688647 34.9473333333333 7 35.9166666666667 35 "5"
"5288" "6_9_03" 0.828181261396367 34.8399563636363 6 35.9 35 "6"
"5295" "8_11_03" 0.90851273626409 34.7940454545454 8 34.7272727272727 35 "8"
"5301" "9_11_03" 0.878130262040947 35.0752317880795 1 36 35 "9"
